"proponente_id","data_solicitacao","cpf_cnpj","nome_razao_social","tipo_pessoa","renda_bruta_anual_declarada","valor_solicitado_credito","finalidade_credito","localizacao_propriedade","area_total_hectares","cultura_principal","possui_experiencia_atividade","anos_experiencia","fontes_dados_adicionais","metadata_evento","ingestion_timestamp"
PROP_01033,1751382,"01.936.638/0197-64",Produtor Rural Exemplo PROP_01033,JURIDICA,434646.67,59951.67,CUSTEIO_SAFRA,"{latitude=-27.598709, longitude=-55.529214, municipio=Municipio Exemplo 72, uf=ES}",79.63,TRIGO,true,1,"{serasa_score=null, ibama_autuacoes_ativas=true, numero_matricula_imovel=MAT-491835}","{versao_schema=1.0.0, origem_dados=simulador_onboarding_digital, timestamp_geracao_evento=1751382}",2025-07-01 12:04:47.739 -0300
PROP_09250,1751382,"02.273.414/7162-83",Produtor Rural Exemplo PROP_09250,JURIDICA,84828.23,476879.06,INVESTIMENTO_MAQUINARIO,"{latitude=-17.121545, longitude=-42.957539, municipio=Municipio Exemplo 63, uf=RS}",136.69,CAFE,false,0,"{serasa_score=null, ibama_autuacoes_ativas=null, numero_matricula_imovel=MAT-526261}","{versao_schema=1.0.0, origem_dados=simulador_onboarding_digital, timestamp_geracao_evento=1751382}",2025-07-01 12:04:50.892 -0300
PROP_07726,1751383,"170.701.145-78",Produtor Rural Exemplo PROP_07726,FISICA,658279.38,180897.61,CUSTEIO_SAFRA,"{latitude=-10.34897, longitude=-46.966126, municipio=Municipio Exemplo 8, uf=RJ}",577.96,ALGODAO,true,18,"{serasa_score=null, ibama_autuacoes_ativas=false, numero_matricula_imovel=MAT-282736}","{versao_schema=1.0.0, origem_dados=simulador_onboarding_digital, timestamp_geracao_evento=1751383}",2025-07-01 12:22:16.654 -0300
PROP_08530,1751381,"93.256.214/0048-12",Produtor Rural Exemplo PROP_08530,JURIDICA,605661.09,402482.65,CUSTEIO_SAFRA,"{latitude=-25.515761, longitude=-66.692286, municipio=Municipio Exemplo 83, uf=MT}",1367.16,FRUTICULTURA,true,17,"{serasa_score=null, ibama_autuacoes_ativas=true, numero_matricula_imovel=MAT-747399}","{versao_schema=1.0.0, origem_dados=simulador_onboarding_digital, timestamp_geracao_evento=1751381}",2025-07-01 11:53:18.147 -0300
PROP_00341,1751381,"15.152.605/3422-97",Produtor Rural Exemplo PROP_00341,JURIDICA,953563.74,123708.64,OUTROS,"{latitude=-29.36297, longitude=-59.101372, municipio=Municipio Exemplo 54, uf=AC}",809.05,MILHO,true,11,"{serasa_score=537, ibama_autuacoes_ativas=true, numero_matricula_imovel=MAT-322048}","{versao_schema=1.0.0, origem_dados=simulador_onboarding_digital, timestamp_geracao_evento=1751381}",2025-07-01 11:53:30.857 -0300
PROP_09337,1751381,"50.667.282/3019-36",Produtor Rural Exemplo PROP_09337,JURIDICA,225894.22,278795.6,INVESTIMENTO_MAQUINARIO,"{latitude=-4.541337, longitude=-66.722539, municipio=Municipio Exemplo 31, uf=RR}",1307.84,TRIGO,false,0,"{serasa_score=null, ibama_autuacoes_ativas=true, numero_matricula_imovel=MAT-719570}","{versao_schema=1.0.0, origem_dados=simulador_onboarding_digital, timestamp_geracao_evento=1751381}",2025-07-01 11:53:38.792 -0300
PROP_07019,1751381,"31.511.905/3111-49",Produtor Rural Exemplo PROP_07019,JURIDICA,314608.43,450302.34,OUTROS,"{latitude=-18.362686, longitude=-65.441519, municipio=Municipio Exemplo 3, uf=AC}",880.3,ALGODAO,false,0,"{serasa_score=null, ibama_autuacoes_ativas=false, numero_matricula_imovel=MAT-845035}","{versao_schema=1.0.0, origem_dados=simulador_onboarding_digital, timestamp_geracao_evento=1751381}",2025-07-01 11:53:07.343 -0300
PROP_06640,1751383,"614.512.214-62",Produtor Rural Exemplo PROP_06640,FISICA,434623.22,94291.94,AMPLIACAO_AREA,"{latitude=-22.248509, longitude=-38.853282, municipio=Municipio Exemplo 26, uf=AC}",461.04,FRUTICULTURA,false,0,"{serasa_score=null, ibama_autuacoes_ativas=false, numero_matricula_imovel=MAT-178605}","{versao_schema=1.0.0, origem_dados=simulador_onboarding_digital, timestamp_geracao_evento=1751383}",2025-07-01 12:22:21.004 -0300
PROP_08480,1751383,"860.926.515-38",Produtor Rural Exemplo PROP_08480,FISICA,357020.03,322742.54,CUSTEIO_SAFRA,"{latitude=-26.547971, longitude=-62.57988, municipio=Municipio Exemplo 99, uf=RR}",201.61,TRIGO,false,0,"{serasa_score=null, ibama_autuacoes_ativas=true, numero_matricula_imovel=MAT-741080}","{versao_schema=1.0.0, origem_dados=simulador_onboarding_digital, timestamp_geracao_evento=1751383}",2025-07-01 12:22:35.560 -0300
PROP_05107,1751382,"910.842.575-28",Produtor Rural Exemplo PROP_05107,FISICA,938834.8,269276.03,INVESTIMENTO_MAQUINARIO,"{latitude=-31.282191, longitude=-70.556067, municipio=Municipio Exemplo 37, uf=GO}",685.12,ARROZ,true,40,"{serasa_score=null, ibama_autuacoes_ativas=false, numero_matricula_imovel=MAT-288069}","{versao_schema=1.0.0, origem_dados=simulador_onboarding_digital, timestamp_geracao_evento=1751382}",2025-07-01 12:08:42.544 -0300
PROP_06866,1751383,"751.224.338-38",Produtor Rural Exemplo PROP_06866,FISICA,655079.27,479322.88,CUSTEIO_SAFRA,"{latitude=-22.533404, longitude=-73.791314, municipio=Municipio Exemplo 69, uf=AC}",250.57,CANA_DE_ACUCAR,false,0,"{serasa_score=505, ibama_autuacoes_ativas=true, numero_matricula_imovel=MAT-192117}","{versao_schema=1.0.0, origem_dados=simulador_onboarding_digital, timestamp_geracao_evento=1751383}",2025-07-01 12:22:48.948 -0300
PROP_04908,1751383,"644.332.338-12",Produtor Rural Exemplo PROP_04908,FISICA,243491.23,310595.23,AMPLIACAO_AREA,"{latitude=-22.896043, longitude=-67.613101, municipio=Municipio Exemplo 46, uf=MS}",1020.35,SOJA,true,37,"{serasa_score=null, ibama_autuacoes_ativas=false, numero_matricula_imovel=MAT-458713}","{versao_schema=1.0.0, origem_dados=simulador_onboarding_digital, timestamp_geracao_evento=1751383}",2025-07-01 12:22:58.104 -0300
PROP_04254,1751383,"941.362.967-97",Produtor Rural Exemplo PROP_04254,FISICA,199919.7,499147.14,OUTROS,"{latitude=-13.136242, longitude=-69.179374, municipio=Municipio Exemplo 28, uf=MS}",1914.64,ALGODAO,false,0,"{serasa_score=394, ibama_autuacoes_ativas=null, numero_matricula_imovel=MAT-634390}","{versao_schema=1.0.0, origem_dados=simulador_onboarding_digital, timestamp_geracao_evento=1751383}",2025-07-01 12:22:43.232 -0300
PROP_05776,1751383,"817.868.431-91",Produtor Rural Exemplo PROP_05776,FISICA,790039.1,312588.71,CUSTEIO_SAFRA,"{latitude=-21.384146, longitude=-47.610839, municipio=Municipio Exemplo 39, uf=GO}",358.46,CAFE,true,9,"{serasa_score=null, ibama_autuacoes_ativas=false, numero_matricula_imovel=MAT-489747}","{versao_schema=1.0.0, origem_dados=simulador_onboarding_digital, timestamp_geracao_evento=1751383}",2025-07-01 12:22:05.845 -0300
PROP_04968,1751381,"92.670.605/7418-36",Produtor Rural Exemplo PROP_04968,JURIDICA,882449.2,201603.97,AMPLIACAO_AREA,"{latitude=-16.584689, longitude=-67.910272, municipio=Municipio Exemplo 96, uf=TO}",1451.5,FRUTICULTURA,true,31,"{serasa_score=815, ibama_autuacoes_ativas=null, numero_matricula_imovel=MAT-665512}","{versao_schema=1.0.0, origem_dados=simulador_onboarding_digital, timestamp_geracao_evento=1751381}",2025-07-01 11:53:45.069 -0300
PROP_06159,1751381,"32.411.782/3829-01",Produtor Rural Exemplo PROP_06159,JURIDICA,900132.07,100028.7,OUTROS,"{latitude=2.096855, longitude=-58.00705, municipio=Municipio Exemplo 51, uf=AP}",1788.13,CAFE,false,0,"{serasa_score=612, ibama_autuacoes_ativas=false, numero_matricula_imovel=MAT-781312}","{versao_schema=1.0.0, origem_dados=simulador_onboarding_digital, timestamp_geracao_evento=1751381}",2025-07-01 11:51:10.792 -0300
PROP_00513,1751381,"72.999.452/5067-05",Produtor Rural Exemplo PROP_00513,JURIDICA,222234.87,206253.2,AMPLIACAO_AREA,"{latitude=-12.854191, longitude=-65.765453, municipio=Municipio Exemplo 48, uf=AL}",899.89,CANA_DE_ACUCAR,false,0,"{serasa_score=419, ibama_autuacoes_ativas=true, numero_matricula_imovel=MAT-622651}","{versao_schema=1.0.0, origem_dados=simulador_onboarding_digital, timestamp_geracao_evento=1751381}",2025-07-01 11:51:41.313 -0300
PROP_02191,1751381,"11.734.663/7760-42",Produtor Rural Exemplo PROP_02191,JURIDICA,717551.45,82169.27,CUSTEIO_SAFRA,"{latitude=-10.613062, longitude=-73.874839, municipio=Municipio Exemplo 64, uf=PI}",1525.38,EUCALIPTO,true,35,"{serasa_score=null, ibama_autuacoes_ativas=true, numero_matricula_imovel=MAT-698563}","{versao_schema=1.0.0, origem_dados=simulador_onboarding_digital, timestamp_geracao_evento=1751381}",2025-07-01 11:51:03.170 -0300
PROP_02409,1751381,"697.119.376-74",Produtor Rural Exemplo PROP_02409,FISICA,76732.57,186263.07,OUTROS,"{latitude=-2.918587, longitude=-52.291259, municipio=Municipio Exemplo 11, uf=AP}",692.29,FRUTICULTURA,false,0,"{serasa_score=308, ibama_autuacoes_ativas=null, numero_matricula_imovel=MAT-329995}","{versao_schema=1.0.0, origem_dados=simulador_onboarding_digital, timestamp_geracao_evento=1751381}",2025-07-01 11:56:42.292 -0300
PROP_09454,1751381,"519.747.455-82",Produtor Rural Exemplo PROP_09454,FISICA,876933.57,409771.76,OUTROS,"{latitude=-29.408906, longitude=-68.140724, municipio=Municipio Exemplo 78, uf=RS}",1839.91,CANA_DE_ACUCAR,false,0,"{serasa_score=395, ibama_autuacoes_ativas=true, numero_matricula_imovel=MAT-517403}","{versao_schema=1.0.0, origem_dados=simulador_onboarding_digital, timestamp_geracao_evento=1751381}",2025-07-01 11:56:18.540 -0300
PROP_05024,1751381,"900.149.749-86",Produtor Rural Exemplo PROP_05024,FISICA,133484.09,99424.24,OUTROS,"{latitude=-22.772289, longitude=-40.857768, municipio=Municipio Exemplo 43, uf=RO}",1455.6,MILHO,true,34,"{serasa_score=853, ibama_autuacoes_ativas=false, numero_matricula_imovel=MAT-500783}","{versao_schema=1.0.0, origem_dados=simulador_onboarding_digital, timestamp_geracao_evento=1751381}",2025-07-01 11:56:05.116 -0300
PROP_07349,1751382,"99.995.832/0465-98",Produtor Rural Exemplo PROP_07349,JURIDICA,433052.54,44335.46,OUTROS,"{latitude=-20.884657, longitude=-42.663082, municipio=Municipio Exemplo 14, uf=AL}",1298.56,SOJA,true,10,"{serasa_score=643, ibama_autuacoes_ativas=true, numero_matricula_imovel=MAT-860791}","{versao_schema=1.0.0, origem_dados=simulador_onboarding_digital, timestamp_geracao_evento=1751382}",2025-07-01 12:07:15.969 -0300
PROP_07493,1751382,"381.270.382-89",Produtor Rural Exemplo PROP_07493,FISICA,891280.9,303684.41,CUSTEIO_SAFRA,"{latitude=-1.433092, longitude=-68.738592, municipio=Municipio Exemplo 39, uf=RR}",216.15,FRUTICULTURA,false,0,"{serasa_score=730, ibama_autuacoes_ativas=false, numero_matricula_imovel=MAT-727183}","{versao_schema=1.0.0, origem_dados=simulador_onboarding_digital, timestamp_geracao_evento=1751382}",2025-07-01 12:15:46.709 -0300
PROP_05216,1751382,"34.964.163/9640-75",Produtor Rural Exemplo PROP_05216,JURIDICA,273155.28,45209.71,AMPLIACAO_AREA,"{latitude=-18.571684, longitude=-43.938195, municipio=Municipio Exemplo 67, uf=ES}",459.34,FEIJAO,true,3,"{serasa_score=null, ibama_autuacoes_ativas=true, numero_matricula_imovel=MAT-176315}","{versao_schema=1.0.0, origem_dados=simulador_onboarding_digital, timestamp_geracao_evento=1751382}",2025-07-01 12:12:11.088 -0300
PROP_07409,1751382,"38.847.611/9565-68",Produtor Rural Exemplo PROP_07409,JURIDICA,707318.91,200431.16,INVESTIMENTO_MAQUINARIO,"{latitude=-18.487129, longitude=-47.844612, municipio=Municipio Exemplo 14, uf=CE}",1595.98,FRUTICULTURA,true,27,"{serasa_score=null, ibama_autuacoes_ativas=true, numero_matricula_imovel=MAT-130006}","{versao_schema=1.0.0, origem_dados=simulador_onboarding_digital, timestamp_geracao_evento=1751382}",2025-07-01 12:12:50.596 -0300
PROP_09631,1751382,"46.225.150/9538-87",Produtor Rural Exemplo PROP_09631,JURIDICA,77496.19,237284.95,OUTROS,"{latitude=-14.270943, longitude=-71.151886, municipio=Municipio Exemplo 79, uf=PE}",1151.88,FRUTICULTURA,true,15,"{serasa_score=null, ibama_autuacoes_ativas=false, numero_matricula_imovel=MAT-263221}","{versao_schema=1.0.0, origem_dados=simulador_onboarding_digital, timestamp_geracao_evento=1751382}",2025-07-01 12:12:05.700 -0300
PROP_00964,1751382,"90.026.988/7404-12",Produtor Rural Exemplo PROP_00964,JURIDICA,805472.33,160603.05,AMPLIACAO_AREA,"{latitude=-7.753617, longitude=-42.751809, municipio=Municipio Exemplo 92, uf=AC}",1258.14,EUCALIPTO,true,16,"{serasa_score=null, ibama_autuacoes_ativas=false, numero_matricula_imovel=MAT-818150}","{versao_schema=1.0.0, origem_dados=simulador_onboarding_digital, timestamp_geracao_evento=1751382}",2025-07-01 12:12:14.584 -0300
PROP_07078,1751382,"12.792.639/8406-81",Produtor Rural Exemplo PROP_07078,JURIDICA,739312.11,470725.85,AMPLIACAO_AREA,"{latitude=-18.732648, longitude=-59.39441, municipio=Municipio Exemplo 46, uf=SC}",830.69,CANA_DE_ACUCAR,true,34,"{serasa_score=null, ibama_autuacoes_ativas=null, numero_matricula_imovel=MAT-245458}","{versao_schema=1.0.0, origem_dados=simulador_onboarding_digital, timestamp_geracao_evento=1751382}",2025-07-01 12:12:18.960 -0300
PROP_04600,1751382,"08.188.588/7266-15",Produtor Rural Exemplo PROP_04600,JURIDICA,105686.68,408873.63,OUTROS,"{latitude=-22.368354, longitude=-53.139434, municipio=Municipio Exemplo 28, uf=RJ}",1495.27,ARROZ,true,15,"{serasa_score=null, ibama_autuacoes_ativas=null, numero_matricula_imovel=MAT-328663}","{versao_schema=1.0.0, origem_dados=simulador_onboarding_digital, timestamp_geracao_evento=1751382}",2025-07-01 12:12:35.443 -0300
PROP_02118,1751382,"48.747.533/3497-45",Produtor Rural Exemplo PROP_02118,JURIDICA,606750.68,359831.99,INVESTIMENTO_MAQUINARIO,"{latitude=1.224209, longitude=-60.827274, municipio=Municipio Exemplo 86, uf=PI}",932.45,ARROZ,false,0,"{serasa_score=null, ibama_autuacoes_ativas=false, numero_matricula_imovel=MAT-252991}","{versao_schema=1.0.0, origem_dados=simulador_onboarding_digital, timestamp_geracao_evento=1751382}",2025-07-01 12:12:42.170 -0300
PROP_06924,1751383,"367.151.493-13",Produtor Rural Exemplo PROP_06924,FISICA,684004.63,443334.72,OUTROS,"{latitude=-1.907993, longitude=-71.123191, municipio=Municipio Exemplo 41, uf=AL}",313.4,TRIGO,false,0,"{serasa_score=null, ibama_autuacoes_ativas=null, numero_matricula_imovel=MAT-459596}","{versao_schema=1.0.0, origem_dados=simulador_onboarding_digital, timestamp_geracao_evento=1751383}",2025-07-01 12:19:10.508 -0300
PROP_00997,1751383,"901.625.763-10",Produtor Rural Exemplo PROP_00997,FISICA,495919.64,112719.22,CUSTEIO_SAFRA,"{latitude=-22.725712, longitude=-52.469794, municipio=Municipio Exemplo 43, uf=ES}",780.11,ALGODAO,false,0,"{serasa_score=null, ibama_autuacoes_ativas=false, numero_matricula_imovel=MAT-836889}","{versao_schema=1.0.0, origem_dados=simulador_onboarding_digital, timestamp_geracao_evento=1751383}",2025-07-01 12:19:38.409 -0300
PROP_07150,1751383,"216.437.158-29",Produtor Rural Exemplo PROP_07150,FISICA,109770.58,162652.59,AMPLIACAO_AREA,"{latitude=-22.339125, longitude=-50.845007, municipio=Municipio Exemplo 65, uf=RR}",795.11,CAFE,true,37,"{serasa_score=null, ibama_autuacoes_ativas=null, numero_matricula_imovel=MAT-769315}","{versao_schema=1.0.0, origem_dados=simulador_onboarding_digital, timestamp_geracao_evento=1751383}",2025-07-01 12:19:57.296 -0300
PROP_08068,1751383,"815.401.660-15",Produtor Rural Exemplo PROP_08068,FISICA,801150.57,366050.2,INVESTIMENTO_MAQUINARIO,"{latitude=-33.232288, longitude=-37.430581, municipio=Municipio Exemplo 96, uf=RR}",702.49,CANA_DE_ACUCAR,true,25,"{serasa_score=605, ibama_autuacoes_ativas=true, numero_matricula_imovel=MAT-994124}","{versao_schema=1.0.0, origem_dados=simulador_onboarding_digital, timestamp_geracao_evento=1751383}",2025-07-01 12:19:14.929 -0300
PROP_04615,1751383,"248.638.683-17",Produtor Rural Exemplo PROP_04615,FISICA,190684.3,70412.81,CUSTEIO_SAFRA,"{latitude=-29.539174, longitude=-36.474908, municipio=Municipio Exemplo 15, uf=ES}",482.51,CANA_DE_ACUCAR,false,0,"{serasa_score=300, ibama_autuacoes_ativas=null, numero_matricula_imovel=MAT-572968}","{versao_schema=1.0.0, origem_dados=simulador_onboarding_digital, timestamp_geracao_evento=1751383}",2025-07-01 12:19:29.411 -0300
PROP_07880,1751383,"616.147.420-21",Produtor Rural Exemplo PROP_07880,FISICA,849808.12,459824.95,CUSTEIO_SAFRA,"{latitude=-20.61291, longitude=-46.927471, municipio=Municipio Exemplo 96, uf=MT}",204.57,SOJA,true,5,"{serasa_score=null, ibama_autuacoes_ativas=false, numero_matricula_imovel=MAT-816724}","{versao_schema=1.0.0, origem_dados=simulador_onboarding_digital, timestamp_geracao_evento=1751383}",2025-07-01 12:19:34.144 -0300
PROP_04958,1751383,"260.937.724-32",Produtor Rural Exemplo PROP_04958,FISICA,342294.08,13194.42,CUSTEIO_SAFRA,"{latitude=-15.027167, longitude=-34.651599, municipio=Municipio Exemplo 27, uf=MT}",1027.65,CANA_DE_ACUCAR,false,0,"{serasa_score=787, ibama_autuacoes_ativas=null, numero_matricula_imovel=MAT-222034}","{versao_schema=1.0.0, origem_dados=simulador_onboarding_digital, timestamp_geracao_evento=1751383}",2025-07-01 12:19:50.488 -0300
PROP_04219,1751382,"585.971.738-41",Produtor Rural Exemplo PROP_04219,FISICA,606735.86,212844.88,CUSTEIO_SAFRA,"{latitude=-10.045336, longitude=-34.464544, municipio=Municipio Exemplo 60, uf=ES}",1187.23,SOJA,false,0,"{serasa_score=null, ibama_autuacoes_ativas=false, numero_matricula_imovel=MAT-141248}","{versao_schema=1.0.0, origem_dados=simulador_onboarding_digital, timestamp_geracao_evento=1751382}",2025-07-01 12:08:50.340 -0300
PROP_06052,1751382,"144.518.179-10",Produtor Rural Exemplo PROP_06052,FISICA,866431.63,279926.02,OUTROS,"{latitude=-32.87118, longitude=-44.33336, municipio=Municipio Exemplo 4, uf=RR}",1478.99,FEIJAO,true,31,"{serasa_score=null, ibama_autuacoes_ativas=null, numero_matricula_imovel=MAT-990360}","{versao_schema=1.0.0, origem_dados=simulador_onboarding_digital, timestamp_geracao_evento=1751382}",2025-07-01 12:08:59.988 -0300
PROP_01778,1751382,"142.191.681-25",Produtor Rural Exemplo PROP_01778,FISICA,696398.55,407217.35,AMPLIACAO_AREA,"{latitude=-26.005056, longitude=-57.043065, municipio=Municipio Exemplo 47, uf=SP}",1782.43,MILHO,false,0,"{serasa_score=null, ibama_autuacoes_ativas=null, numero_matricula_imovel=MAT-573619}","{versao_schema=1.0.0, origem_dados=simulador_onboarding_digital, timestamp_geracao_evento=1751382}",2025-07-01 12:08:19.400 -0300
PROP_09880,1751382,"871.259.509-45",Produtor Rural Exemplo PROP_09880,FISICA,487486.5,158074.69,CUSTEIO_SAFRA,"{latitude=4.569192, longitude=-51.872335, municipio=Municipio Exemplo 42, uf=PA}",183.36,MILHO,true,18,"{serasa_score=578, ibama_autuacoes_ativas=true, numero_matricula_imovel=MAT-960423}","{versao_schema=1.0.0, origem_dados=simulador_onboarding_digital, timestamp_geracao_evento=1751382}",2025-07-01 12:08:26.200 -0300
PROP_09701,1751382,"605.715.725-18",Produtor Rural Exemplo PROP_09701,FISICA,500599.76,209078.02,OUTROS,"{latitude=2.789044, longitude=-53.856386, municipio=Municipio Exemplo 87, uf=RR}",585.19,ALGODAO,false,0,"{serasa_score=null, ibama_autuacoes_ativas=true, numero_matricula_imovel=MAT-447028}","{versao_schema=1.0.0, origem_dados=simulador_onboarding_digital, timestamp_geracao_evento=1751382}",2025-07-01 12:08:57.432 -0300
PROP_10022,1751382,"481.742.409-66",Produtor Rural Exemplo PROP_10022,FISICA,409439.44,228683.05,AMPLIACAO_AREA,"{latitude=-17.664338, longitude=-63.619254, municipio=Municipio Exemplo 48, uf=BA}",1188.52,CANA_DE_ACUCAR,false,0,"{serasa_score=null, ibama_autuacoes_ativas=false, numero_matricula_imovel=MAT-458721}","{versao_schema=1.0.0, origem_dados=simulador_onboarding_digital, timestamp_geracao_evento=1751382}",2025-07-01 12:08:14.165 -0300
PROP_02657,1751382,"254.504.438-27",Produtor Rural Exemplo PROP_02657,FISICA,462856.18,10959.86,OUTROS,"{latitude=-1.866283, longitude=-39.420931, municipio=Municipio Exemplo 14, uf=AC}",75.69,CAFE,false,0,"{serasa_score=544, ibama_autuacoes_ativas=null, numero_matricula_imovel=MAT-862260}","{versao_schema=1.0.0, origem_dados=simulador_onboarding_digital, timestamp_geracao_evento=1751382}",2025-07-01 12:08:36.724 -0300
PROP_02035,1751382,"59.204.073/0609-36",Produtor Rural Exemplo PROP_02035,JURIDICA,591774.37,97059.92,OUTROS,"{latitude=-27.009784, longitude=-53.347259, municipio=Municipio Exemplo 69, uf=RR}",1560.28,TRIGO,false,0,"{serasa_score=null, ibama_autuacoes_ativas=true, numero_matricula_imovel=MAT-490781}","{versao_schema=1.0.0, origem_dados=simulador_onboarding_digital, timestamp_geracao_evento=1751382}",2025-07-01 12:07:34.806 -0300
PROP_08785,1751382,"75.657.616/7423-19",Produtor Rural Exemplo PROP_08785,JURIDICA,258631.29,489854.59,AMPLIACAO_AREA,"{latitude=-27.173299, longitude=-67.240762, municipio=Municipio Exemplo 37, uf=MT}",232.59,CAFE,true,15,"{serasa_score=null, ibama_autuacoes_ativas=false, numero_matricula_imovel=MAT-520792}","{versao_schema=1.0.0, origem_dados=simulador_onboarding_digital, timestamp_geracao_evento=1751382}",2025-07-01 12:07:12.116 -0300
